station_name,street_address,city,state,zip,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_network,ev_connector_types,access_code,access_detail_code,facility_type
Ramada - Sunnyvale,1217 Wildwood Ave,Sunnyvale,CA,94089,,3,,Non-Networked,J1772,public,Unknown,HOTEL
TABOR CENTER HORACE,1201-1299 16th St,Denver,CO,80202,,2,,ChargePoint Network,J1772,public,Unknown,
TABOR CENTER AUGUSTA,1200 17th St,Denver,CO,80202,,2,,ChargePoint Network,J1772,public,Unknown,
CCD CHARGING CITY HALL 1,201-249 W 14th Ave,Denver,CO,80202,,2,,ChargePoint Network,J1772,public,Unknown,
The Markham,20800 Homestead Rd,Cupertino,CA,95014,,2,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Hillview Community Center,97 Hillview Ave,Palo Alto,CA,94022,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Elements Apartments,1201 Parkmoor Ave,San Jose,CA,95126,,1,,Non-Networked,J1772,public,Unknown,PARKING_LOT
M3 CT4K 1,1715 N Brown Rd,Lawrenceville,GA,30043,,2,,ChargePoint Network,J1772,public,Unknown,
Downtown Takoma Park,7224 Carroll Ave,Takoma Park,MD,20912,,2,4,Non-Networked,CHADEMO J1772 J1772COMBO,public,Unknown,STREET_PARKING
Lamoni Cobblestone Inn and Suites,226 Spruce Dr,Lamoni,IA,50140,,1,,Non-Networked,J1772,public,CALL,HOTEL
Verizon,13100 Columbia Pike,Silver Spring,MD,20904,,12,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
Meriden Station Garage,24 Colony St,Meriden,CT,6451,,3,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Greystone at Maple Ridge,7777 Schomburg Rd,Columbus,GA,31909,,2,,Non-Networked,J1772,public,Unknown,PARKING_LOT
CARTA 8007 VOLKSWAGEN,8007 Volkswagen Dr,Chattanooga,TN,37421,,2,,ChargePoint Network,J1772,public,Unknown,
CARTA 7380 TN 317,7380 TN-317,Chattanooga,TN,37421,,2,,ChargePoint Network,J1772,public,Unknown,
OBE POWER ICON LAS OLAS 1,590 East Las Olas Blvd,Fort Lauderdale,FL,33301,,2,,ChargePoint Network,J1772,public,Unknown,
THE RIXEY STATION 1,1008N Glebe Rd,Arlington,VA,22201,,2,,ChargePoint Network,J1772,public,Unknown,
BMW ARKANSAS STATION 1,2472-2510 SE Moberly Ln,Bentonville,AR,72712,,2,,ChargePoint Network,J1772,public,Unknown,
GOVT. CENTER BATAVIA RIVERWA,Batavia Riverwalk,Batavia,IL,60510,,2,,ChargePoint Network,J1772,public,Unknown,
EVERGY @MKC AIRPT-122C,300 NW Richards Rd @ KC Wheeler Downtown Airp,Kansas City,MO,64116,,2,,ChargePoint Network,J1772,public,Unknown,
CAPITOL PARKING STATION 2,301-459 N 12th St,Omaha,NE,68102,,2,,ChargePoint Network,J1772,public,Unknown,
Book Nook Inn,10405 Cooks Lake Rd,Lumberton,TX,77657,,1,,Non-Networked,J1772,public,Unknown,INN
Davidson Chevrolet Cadillac Buick GMC of Rome,5871 Rome-Taberg Rd,Rome,NY,13440,,3,1,Non-Networked,J1772 J1772COMBO,private,Unknown,CAR_DEALER
Holiday Inn Express,5311 Hetzel St,Cincinnati,OH,45227,,2,,Non-Networked,J1772,public,CALL,HOTEL
National Buffalo Museum,500 17th St SE,Jamestown,ND,58401,,1,,Non-Networked,J1772,public,Unknown,MUSEUM
University of Jamestown,6000 College Ln,Jamestown,ND,58405,,1,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Black Bear Inn,505 W Ramshorn,Dubois,WY,82513,,2,,Non-Networked,J1772,public,Unknown,INN
